,キャッチコピー,ステータス,企業名,初年度年収
0,自社製品開発エンジニア【PG・SE】 正社員,正社員,クオリティソフト株式会社 | 100%自社製品開発／上流工程に携われます,400万円～700万円
1,未経験者積極採用中！ エンジニアデビューを応援します【SE/PG】 正社員,正社員,株式会社c.paradiso | 残業は月平均0～20時間／年間休日126日／産休・育休あり,300万円～600万円
2,案件も働き方も自由に選べる【ITエンジニア】※技術転換もok 正社員,正社員,グルーコードテクノロジーズ株式会社 | 【グルーコードグループ】★コロナ禍でも成長／積極採用中,450万円～1500万円
3,"""水""というライフラインを支える【水道技師】★平均月収45万円超 正社員",正社員,Rセキュリティ株式会社 | 20年連続増収増益◆2020年2~5月は売上前年比125％◆完全週休二日,450万円～550万円
4,＼未経験歓迎／【営業】★応募者全員と面接します！(39歳まで) 正社員,正社員,株式会社IDOM | 旧社名：ガリバーインターナショナル◇Gulliver【東証1部上場】,
5,理系限定【開発エンジニア職(ソフト・電気・機械)】上流工程担当 正社員,正社員,株式会社アルトナー | 設立60年／東証一部上場／業界トップクラスの技術力が自慢,
6,社員の声と想いが生み出す職場環境が自慢！【ITエンジニア】 正社員,正社員,株式会社アカリエ | 介護市場100兆円超の巨大マーケットにITスキルを武器に挑戦！,360万円～780万円
7,【ITエンジニア】※経験者は前給考慮！未経験者は90日の研修あり 正社員,正社員,株式会社セルア | 大阪府緊急雇用対策に賛同｜土日の完全週休2日で年間休日123日！,250万円～700万円
8,コロナ禍でも安定成長【ITエンジニア】★残業月11h/年休125日 正社員,正社員,株式会社スタッフサービス | エンジニアリング事業本部,300万円～700万円
9,【ITエンジニア】現状に満足せず、更なる高みを目指す人へ――。 正社員,正社員,株式会社レクシス | ★前職の給与を保証 ！ERP導入案件に携わり、キャリアアップを！,450万円～900万円
10,未経験からはじめる【初級エンジニア】★年休125日～ ★残業少 正社員,正社員,"株式会社エルバークJohn | ★受託案件も拡充 ★土日祝休 ★1,000人以上を育てた研修あり",
11,ちょっとしか経験がない…そんな方も大歓迎！【プログラマー】 正社員,正社員,株式会社ケアリッツ・アンド・パートナーズ | 将来性高い「IT」と「介護」事業を展開 ★ 残業ほぼナシ！,400万円～1020万円
12,＼未経験からITデビュー／【ITサポート】★土日祝休★残業月20h 正社員,正社員,ジャパニアス株式会社 | 【全国に11拠点を展開】◆転勤なし◆年間休日125日◆残業月20H,320万円～500万円
13,全国募集！自社内開発【SE】★土日祝休★残業月20H★未経験OK！ 正社員,正社員,ジャパニアス株式会社 | 【全国に11拠点展開】◆転勤なし◆残業代100％支給◆在宅勤務有,400万円～800万円
14,業務システムの【コンサルティングエンジニア】☆副業可 正社員,正社員,株式会社エッグシステム | ◆完全週休2日制(土日祝休み)◆年休120日以上◆残業ほぼなし,400万円～600万円
15,【インフラ/開発エンジニア】エンジニアデビューも全力応援！ 正社員,正社員,株式会社アクロビジョン | 《社員ファースト企業》★高い定着率 ★Web面接1回で内定！,260万円～800万円
16,【企画営業(セキュア事業部)】社会人経験3年くらいまでの方対象 正社員,正社員,凸版印刷株式会社 | 東証一部上場企業｜「可能性をデザインする」総合企業,400万円～550万円
17,月35万～【ITエンジニア】★有給消化81％★年休126日／学歴不問 正社員,正社員,株式会社アイエスエフネット | ★在宅勤務OK★完全週休2日★平均残業7.8h★インセンMAX60％,450万円～1000万円
18,【インフラ系エンジニア】◆インフラの提案導入からサポートまで 正社員,正社員,Ｓｋｙ株式会社 | ＜社員定着率96％※2021年3月期＞,
19,中途入社者の9割が年収アップ◆賞与年2回【インフラエンジニア】 正社員,正社員,アデコ株式会社 | Modis事業本部【帰社日＆日報なし★リモートワークも実施中！】,350万円～1000万円
20,成長が叶う転職先で今年を締めくくろう！【ITエンジニア】 正社員,正社員,株式会社アイビス | ※大阪限定募集※ 人気アプリ「ibisPaint」を開発◎年休125日,400万円～600万円
21,【ITエンジニア(開発/インフラ)】★土日祝休み★残業月平均20h程 正社員,正社員,株式会社S．E．C | <12年連続黒字＆売上UPの成長企業>★年間休日125日★定着率約9割,350万円～800万円
22,【ITエンジニア】★昨年99％のエンジニアが昇給した育ち盛り企業 正社員,正社員,IFS株式会社 | ★リモートワーク7割以上★1日6時間勤務を推進★昇給率8％～15％,360万円～720万円
23,【 ITエンジニア】★未経験・経験者とも歓迎★資格取得支援充実 正社員,正社員,アルユーアイ株式会社 | ★定着率90％★完全週休2日(土日)★年休126日★残業10時間以内,300万円～600万円
24,★未経験者歓迎【社内SE】年間休日126日/土日祝休/福利厚生充実 正社員,正社員,朝日機材株式会社 | 【昨年賞与実績平均7か月以上】【現在リモートワーク導入中】,300万円～550万円
25,社内の業務効率化を推進する【社内SE】★年収600万円以上可能 正社員,正社員,株式会社ＪＲ東日本商事 | JR東日本グループの基幹商社◆完週休2日(土日祝)◆年休120日以上,600万円～800万円
26,名古屋本社採用・転勤なし【SEPG／PLPM】★年間休日124日 正社員,正社員,株式会社インビリティー | 完全土日祝休み／フレックスタイム制あり★残業月15時間以下,400万円～700万円
27,面接保証！【商品管理事務】★20代活躍中★コロナ禍でも安定成長 正社員,正社員,グローバルトレード株式会社 | 【ブランド品買取・販売の業界大手】★月8日休み★残業少なめ,300万円～360万円
28,100％反響型・ノルマなし【ハウジングアドバイザー】完全週休2日 正社員,正社員,株式会社千葉東建設 | 未経験でも月給25万円～＋歩合給＋賞与年2回＋各種手当,350万円～550万円
29,東証一部上場企業で働く【営業】★安心できる給与体系！ 正社員,正社員,株式会社サニックス | ◆東証一部上場企業 ◆初任地は希望勤務地を確約／年間休日115日,
30,未経験から始める、商社の【ルート営業】※若手育成採用 正社員,正社員,轟産業株式会社 | ★年間休日127日★設立以来黒字経営★平均賞与支給額100万円！,350万円～450万円
31,「学ぶ」からスタートできる【ITコンサルタント】※未経験可 正社員,正社員,株式会社B・S・L | ◇上場・大手企業と取引◇多彩な研修プログラム有◇成長企業,300万円～800万円
32,【技術スタッフ】◆安定した給与体系◆直近30～40代の入社も多数 正社員,正社員,株式会社サニックス | ◆東証一部上場企業 ◆初任地は希望勤務地を確約／年間休日115日,
33,前給+30万円保証★私服ワークOK♪ 直請け75％！【ITエンジニア】 正社員,正社員,株式会社ケアリッツ・アンド・パートナーズ | 将来性高い「IT」と「介護」事業を展開 ★ 残業ほぼナシ！,420万円～1020万円
34,やりたいことを本気で実現！【ITエンジニア】★未経験OK 正社員,正社員,株式会社アンスール | 自社内開発やゲーム案件あり★テレワークOK＆残業少なめ♪,400万円～500万円
35,【SE・PG】★Web・スマホ・組込など幅広い分野★直請け6割以上 正社員,正社員,アートシステム株式会社 | ★約8割がリモート★社長が年3回全社員から直接希望を聞きます！,300万円～700万円
36,【役員車運転手】★平日日勤のみ！完全土日休み＆夜勤なし！ 契約社員,契約社員,株式会社トーコー | 未経験OK！複数名採用◆賞与年2回◆ノルマなし◆50～60代活躍中,300万円～400万円
37,【コンサルタント（IT/会計/生産）】リモートワーク｜未経験歓迎 正社員,正社員,アットストリームコンサルティング株式会社 | 東証一部上場・大手企業をメインに300社以上をコンサルティング,500万円～1700万円
38,太陽光システムなど次世代環境を守る機器の【メーカー営業】 正社員,正社員,株式会社サニックス | ◆東証一部上場企業 ◆年間休日115日 ◆初任地希望を確約,
39,【開発エンジニア】★社員平均年収UP額120万円 ★給与還元率79% 正社員,正社員,株式会社ICT-O | 開発のみ・上流工程に初挑戦もOK★月給33万円以上★毎年昇給有,400万円～800万円
40,20代女性活躍中◆未経験OK【事務スタッフ】研修あり×土日祝休 正社員,正社員,パーソルテンプスタッフ株式会社 | 大阪府緊急雇用対策に賛同/賞与年2回★研修充実★在宅ワークあり,250万円～350万円
41,【インフラエンジニア】◇年休123日/未経験者歓迎/残業月12.5h 正社員,正社員,株式会社テクノプロ | テクノプロ・IT社【東証一部上場 テクノプロ・グループ】,350万円～650万円
42,【開発エンジニア】年休123日/残業月12.5h/リモート勤務も対応可 正社員,正社員,株式会社テクノプロ | テクノプロ・IT社 【東証一部上場 テクノプロ・グループ】,350万円～650万円
43,２ヶ月しっかり研修！超未経験から【ITエンジニア】を目指せる 正社員,正社員,株式会社ホープス | 【東証一部上場 SHIFTグループ】#土日祝休 #残業月平均10h程度,315万円～500万円
44,PL・PMやITコンサルの道を用意【開発エンジニア】年収1000万円可 正社員,正社員,株式会社ホープス | 【東証一部上場 SHIFTグループ】#土日祝休 #残業月平均10h程度,400万円～1000万円
45,【アプリケーションエンジニア】★プライム・最先端技術活用PJも 正社員,正社員,日鉄ソリューションズ株式会社 | 【東証一部上場/ユーザー系SIer】◆年休124日◆在宅ワーク実施中,480万円～710万円
46,【ITソリューション営業】NSSOLらしい高度で大規模な提案に挑戦 正社員,正社員,日鉄ソリューションズ株式会社 | 【東証一部上場】業界有数のプライムSIer◎リモートワーク実施,480万円～710万円
47,会社づくりにも携われる【エンジニア】※即戦力歓迎/人柄重視！ 正社員,正社員,株式会社ヒューマン・インタフェース | ☆設立30周年☆大手SIer直受注！抜群の安定性＆高い定着率が強み,350万円～450万円
48,情報システムやセキュリティの運用支援をおこなう【庁内SE】 契約社員,契約社員,復興庁 | 【任期付職員】◆完全週休2日 ◆土日祝休み ◆30～40代活躍中,
49,【WEBデザイナー】☆未経験大歓迎☆1年間の研修あり☆年休122日 正社員,正社員,株式会社bloom | ＃残業月5h以下＃完全週休2日制＃面接1回＃1年後に月給5万UP,
50,検査から顧客対応まで希望にあわせてスタート【技術系総合職】 正社員,正社員,株式会社サカキコーポレーション | 年休125日◆未経験1年目：年収400万円可◆世界の計測器を日本へ,400万円～450万円
51,上流工程から品質向上に貢献【SAPコンサルタント】★年休124日 正社員,正社員,株式会社ベリサーブ | ★SCSKグループ★平均有給取得11.3日／年★平均残業24.2時間／月,400万円～1000万円
52,《年間休日126日》【SE／PG】客先常駐ほぼなし＆裁量大きく活躍 正社員,正社員,ダットジャパン株式会社 | 《WEB面接可》札幌にいながら、全国レベルの案件に携われる！,350万円～550万円
53,個性を活かすキャリアチェンジ！【ITエンジニア】へ最短2ヶ月！ 正社員,正社員,株式会社FAM　 | 取引先400社以上！案件豊富/自社サービス有/年休120日以上,300万円～600万円
54,SalesForceの開発に携わる【システムエンジニア】★フレックス制 正社員,正社員,株式会社東京システムリサーチ | 多彩な業種のシステム開発を手がける大手SIer ★残業月平均8.3h,400万円～700万円
55,【ITコンサル候補】◎SE出身者活躍中！未経験者・経験者同時募集 正社員,正社員,エム・ティ・ストラテジー株式会社 | 「ITマネジメント人材」の育成を目的とするコンサルティング会社,360万円～1000万円
56,未経験歓迎！入社後に進む道を決められる【ITエンジニア】 正社員,正社員,グローバルテクノロジーサービス株式会社 | 【富士通コアパートナー】#20代活躍中 #残業月平均12時間程度,260万円～500万円
57,宮城限定募集！地域に貢献する【ITエンジニア】年休124日 正社員,正社員,株式会社ワールドインテック | 【東証一部上場グループの安定基盤】月給25万円／完全土日祝休み,410万円～840万円
58,【総合職(生産技術/企画デザイン/品質管理/SE/営業)】※未経験OK 正社員,正社員,株式会社オニックスジャパン | 【創業122年】伝統と革新を併せ持つ総合麺類メーカー,300万円～500万円
59,働きやすい環境でスキルアップ！【ITエンジニア】☆全国募集☆ 正社員,正社員,株式会社日本ビジネスデータープロセシングセンター | ★官公庁案件多数／土日祝休／年休124日／残業月平均15時間以下,350万円～600万円
60,常時1600件！技術を極めるも上流も、希望実現【SE・PG】 正社員,正社員,株式会社エージェントゲート | 大手プライム多数/前職以上の給与最大限保証/リモート勤務有,264万円～600万円
61,【ITエンジニア（開発/組込/インフラ/運用/医療システム導入）】 正社員,正社員,アルカディア・システムズ株式会社 | 自社医療パッケージを持つ安定基盤あり|★リモート可★土日祝休,350万円～750万円
62,栃木限定募集！モノづくりに貢献する【ITエンジニア】年休124日 正社員,正社員,株式会社ワールドインテック | 東証一部上場グループの安定基盤／月給27万円～／完全土日祝休み,410万円～840万円
63,キャリアUPも働きやすさ優先も選べる【SEサポート・PMO補佐】 正社員,正社員,株式会社エージェントゲート | 大手企業とも取引/残業基本なし/リモート勤務有/年休130日,264万円～600万円
64,【開発エンジニア】入社祝金★PJ手当月平均6万★昇給有★残業少 正社員,正社員,ラーニンギフト株式会社 | バリエーション豊かな案件あり！確かな技術で進化する成長企業,400万円～1000万円
65,【ITエンジニア】★東海エリア限定★年休120日超★原則定時退社 正社員,正社員,株式会社日本ビジネスデータープロセシングセンター | ★コロナに揺るがない安定経営／ワークライフバランス◎,500万円～700万円
66,【ＳＥ】1人で現場に派遣されるのは大変…そんなあなたこそ！ 正社員,正社員,株式会社ルノン | 【財務省案件の実績◎】チームで長く携われる！前給も考慮します,330万円～700万円
67,【総合職】用地取得・企画開発・営業・海外事業等◆未経験歓迎 正社員,正社員,三井不動産レジデンシャル株式会社 | 三井不動産株式会社（東証一部上場）グループ,600万円～1150万円
68,街を彩るエクステリアに関わる【ルート営業】★年間休日125日 正社員,正社員,株式会社サングリーン | 【東証一部上場サンゲツグループ】半日有休OK／男女育休実績あり,300万円～450万円
69,【SE／PG】スキル・頑張り、しっかり見ます！※残業月8h以下 正社員,正社員,株式会社ITAGE GLOBAL | 今の時代に合わせた働き方で、スキルUPとプライベートの両立を！,350万円～600万円
70,【ITエンジニア】★リモートワーク8割・副業OK・将来は独立も◎ 正社員,正社員,株式会社エムズクリエイティブシステム | 《コロナ禍でも昨対比130％増で成長中の安定企業》,400万円～800万円
71,立仕事onlyから自分の可能性に挑戦【ITエンジニア】★未経験OK 正社員,正社員,株式会社Vヴィズリア | ★年休125日超★土日祝休み★残業18h以下★完全週休2日★面接1回,200万円～1500万円
72,ゲームやスマホアプリをプレイ！【テストスタッフ】★未経験歓迎 正社員,正社員,株式会社エルバーククラウド | 年休125日～／土日祝休／残業少／テレワーク可能／面接1回,
73,フルリモートOK｜やりがいと快適が両立する【ITエンジニア】 正社員,正社員,株式会社BASICS | 石川本社だけど全国から勤務可能｜自社サービスの開発も盛ん,360万円～700万円
74,ニーズ急拡大！DX推進の【ソリューション営業】◎年間休日124日 正社員,正社員,日本システムウエア株式会社 | 東証一部上場／有休取得日数平均18.2日／長期休暇あり,
75,【システムエンジニア】◆プライム案件/希望エリア配属※WEB面接 正社員,正社員,NTT東日本グループ会社合同募集 | フレックスタイム・テレワーク/安心して長く働ける福利厚生,
76,NTTグループで活躍する【土木技術者】※関連資格必須・全国募集 正社員,正社員,エヌ・ティ・ティ・インフラネット株式会社 | 土日祝休み／年間休日140日／有給100％取得／残業月平均16時間,300万円～550万円
77,★安定と挑戦を両立できる会社【ITエンジニア(開発／インフラ)】 正社員,正社員,株式会社KDDIエボルバ | 東証1部上場企業グループ◆テレワーク可！賞与年2回／年休123日,350万円～650万円
78,還元率70%超／平均残業10h／待機給与100%支給【ITエンジニア】 正社員,正社員,フルウィル株式会社 | 上場グループ／9割以上が前給与UP入社／年休130日／案件完全選択,384万円～1000万円
79,未経験OK！【営業総合職（営業所長候補）】年休125日／賞与4カ月 正社員,正社員,富国生命保険相互会社 | 経営安定、待遇・福利厚生充実の企業が中途採用を実施！,350万円～650万円
80,日本のモノづくりを支える【ITエンジニア】※フレックスタイム制 正社員,正社員,株式会社NTTデータMHIシステムズ | ★NTTデータと三菱重工業の共同出資 ★定着率99％ ★面接1回！,450万円～850万円
81,2ヶ月間の研修からstart ⇒ 圧倒的に成長できる【ITエンジニア】 正社員,正社員,株式会社アルファシステムズ | 【東証一部上場企業／社員定着率97.1％】★男性も女性も大歓迎,350万円～500万円
82,前職給与保証◎経験に応じて収入決定【PG・SE】※年間休日130日 正社員,正社員,株式会社ココロザシ | 年収例：600万円(入社1年・27歳)／700万円(入社1年・30歳),540万円～1000万円
83,開発経験が積める環境あり！【ITエンジニア】◎経験者は前給保証 正社員,正社員,株式会社シャフト | ◎入社祝い金10万円／年休130日以上／エンジニアファースト◎,400万円～1000万円
84,【IT総合職（SE・ITコンサル）】土日祝休み／新規事業立上げ！ 正社員,正社員,株式会社RCIエージェンシー | 家族や大切な人を最優先できる環境！売上高は前年度比300％UP！,400万円～1200万円
85,未経験歓迎の【初級エンジニア】年休128日*土日祝休み*残業少！ 正社員,正社員,サーヴェイトコンサルティング株式会社 | 【経験者は前給保証】*テレワーク案件有*20～30代活躍中*面接1回,300万円～1000万円
86,【ITエンジニア】★リモートワーク制度・福利厚生充実！ 正社員,正社員,株式会社ユニオン・テクノロジー | SE経験ある方歓迎！残業月10時間以下、完全週休2日制,450万円～700万円
87,""" 人の役に立つ仕事 ""を始めませんか？【 総合職 】地域限定採用 正社員",正社員,株式会社ランテック | 【大阪府緊急雇用対策に賛同】東証一部上場「センコーグループ」,
88,20～30代活躍中【ITエンジニア】★月給31万2500円～★土日祝休み 正社員,正社員,株式会社クルコム | <上流に挑戦したい方大歓迎>経験の浅い方でも大丈夫です！！,500万円～800万円
89,【リードエンジニア】★プライム案件のみ★上流工程★月給50万～ 正社員,正社員,株式会社MIRAILABS | ◆年休130日◆残業ほぼなし◆土日祝休◆服装自由◆リモート5割,600万円～1000万円
90,"""超""充実の研修で成長をサポート【エンジニア】☆残業月20h程度 正社員",正社員,株式会社Rexcross | ☆年間休日124日以上☆リモートワーク導入☆自社内受託案件約8割,300万円～700万円
91,★年休130日★7~8割がテレワーク★月給35万円【開発エンジニア】 正社員,正社員,株式会社i-tech | 設立1年で2拠点開設/在宅7～8割/残業ほぼなし/資格取得支援有,420万円～1100万円
92,Webやモバイル開発の経験を活かせる【エンジニア】★土日祝休み 正社員,正社員,株式会社アイビス | 《 転勤なし 》お絵かきアプリ「ibisPaint」が1億3000万DL突破！,350万円～600万円
93,【Web開発エンジニア】★経験者・未経験者・第二新卒歓迎！ 正社員,正社員,株式会社エデルタ | ◆経験者は前職給以上提示◆リモート勤務中心／出社は週1日程度,350万円～800万円
94,安定した環境で経験・スキルを活かす【ITエンジニア】未経験OK 正社員,正社員,株式会社ジャコム | 年休122日/残業月平均21.7H/賞与年3回(8ヶ月分支給：昨年度実績),300万円～640万円
95,【システム導入アドバイザー】★未経験歓迎★年収600万円も可能 正社員,正社員,株式会社アセンド | 【年休120日以上/土日祝休/研修も充実/20～30代若手活躍中】,300万円～600万円
96,【WEBエンジニア】◆GoやElixirなど最新言語・技術での開発 正社員,正社員,株式会社Days | ◆100%自社内開発◆在宅勤務◆ゲーム/アニメ/SNS等の案件多数,360万円～600万円
97,待遇も楽しさもやりがいも手に入る！【SE・PG】★定着率93%★ 正社員,正社員,株式会社レッティ | Web面接実施中！年休125日・月平均残業時間14.5Hで働きやすさ◎,350万円～600万円
98,直請けが基本【ITエンジニア／開発・インフラ】新部署もスタート 正社員,正社員,株式会社ISS | ★未経験・経験者とも歓迎★設立以来13期連続黒字★年1回9連休,250万円～700万円
99,前職給与保証！【ITエンジニア】★20代活躍中★残業ほぼナシ 正社員,正社員,株式会社アールラーニング | キャリアプラン制度、評価面談で年収12万円アップは当たり前！,350万円～450万円
100,【ITエンジニア】◆未経験も歓迎◆入社前リモート研修で資格取得 正社員,正社員,株式会社アスページ | ★定着率92％★年1回海外or国内旅行★年休123日★20名採用,250万円～750万円
101,大学で働く！【情報システム職員】★経験の浅い方の応募も歓迎 契約社員,契約社員,学校法人東京女子医科大学 | ◆正職員登用実績多数◆有給申請消化率100%◆土日祝休み,
102,【ITエンジニア】エンジニアの本質を学び、市場価値の高い人材へ 正社員,正社員,コンピュータリピート株式会社 | 29歳以下限定！あなたの若さと可能性を開花させてみませんか？,264万円～600万円
103,＜自社内受託開発＞【 ITエンジニア 】リーダー育成プログラム有 正社員,正社員,株式会社スターシステム | 新事業部新設で事業も拡大中,350万円～700万円
104,4ヶ月の研修でデビュー!【エンジニア】★未経験歓迎★年休128日 正社員,正社員,株式会社GSI | 【大阪府緊急雇用対策に賛同】★定着率92％ ★リモートあり,
105,【ITエンジニア】やりたい仕事、みつかる！Web面接可！高卒以上 正社員,正社員,株式会社テイクス | 【新宿事業所】20年連続増収増益！上場企業グループ会社,350万円～700万円
106,【ITエンジニア】積極採用ついにスタート！Web面接可！学歴不問 正社員,正社員,株式会社テイクス | 【本社】個性・長所を伸ばす風土！上場企業グループ会社,350万円～700万円
107,【ITエンジニア】未経験・微経験スタート歓迎★個別の研修もあり 正社員,正社員,ディーピーティー株式会社 | ＼創業以来、無借金経営を継続中／◎直近5年で、売上250％UP！,350万円～650万円
108,【開発エンジニア】★PL候補★プライム案件100%＆自社内開発100% 正社員,正社員,株式会社 UZEN | 自社ECプラットフォーム 「G1 Commerce」を展開★前職給与保証,600万円～900万円
109,【クラウドソフトエンジニア(PG/SE・PM候補)】※平均勤続25.6年 正社員,正社員,東芝デベロップメントエンジニアリング株式会社 | 【11/6（土）マイナビ転職フェア＠新宿に出展！】,300万円～575万円
110,希望者全員面接！【SE／PG】◎前職給与を保証 ◎土日祝休み 正社員,正社員,株式会社インターテクノ | 在宅勤務も可能／退職金制度あり／大阪府緊急雇用対策に賛同,350万円～750万円
111,未経験OK！イチからスキルを身につける【SE・PG】年休125日以上 正社員,正社員,株式会社アンクス | 新しいスタートを応援！土日祝休み／残業月10h ※WEB面接可能,300万円～600万円
112,【社内SE】★土日祝休み★月給36万円以上★年休132日★学歴不問 正社員,正社員,アイコムシステック株式会社 | 東証1部企業グループ★残業月15h以下★年末年始に最大16連休OK,400万円～1000万円
113,ロボット、AI・IoT、スマホアプリ等【WEBエンジニア】★土日休み 正社員,正社員,株式会社システナ | ★東証一部上場 ★自社内開発5割以上・札幌/福岡は自社内100%,400万円～1500万円
114,未経験入社率95％！！充実の研修で安定のIT業界へ【IT系総合職】 正社員,正社員,株式会社IIJプロテック | ◆東証一部上場・業界大手IIJグループ ◆年休125日 ◆賞与年3回,300万円～800万円
115,＼可能性あふれる自由な会社／【SE】★残業月5hほど ★東京募集 正社員,正社員,株式会社Olivier | 【在宅＆時差勤務あり／年間休日129日(土日)／私服OK】,300万円～840万円
116,【エンジニア】※年休122日＆残業もほぼナシ！★受託案件増加中 正社員,正社員,株式会社ライズサービス | 大阪府緊急雇用対策に賛同│注目の西日本ベンチャー100連続選出,400万円～850万円
117,未経験でも月給25万円～【総合職(営業・人材コーディネーター)】 正社員,正社員,株式会社インテック | ◆WEB面接もOK！カジュアルな個別説明会も実施♪,350万円～500万円
118,～前給保証～【ITエンジニア】★完全週休2日 ★年休120日以上 正社員,正社員,株式会社Japan Technology | リモート案件が多数／月1万円の美容手当など福利厚生◎,350万円～1000万円
119,ゼロからITの知識とスキルが身につく【提案営業】年休130日以上 正社員,正社員,株式会社ジェネコム | ◇未経験歓迎！◇完全週休2日（土日休み）◇実働7時間,308万円～450万円
120,年収800万目指せる【開発エンジニア】年齢不問/年間休日120日超 正社員,正社員,株式会社ヴィアックス | <創業49年&エンジニアファーストで案件を選べる>在宅勤務実施中,400万円～800万円
